Solver, Instance, Result
ParLS-PBO(8 thread), air01.opb, 6796.0
ParLS-PBO(16 thread), air01.opb, 6796.0
LS-PBO, air02.opb, 8302.0
DeciLS-PBO, air02.opb, 8174.0
PBO-IHS, air02.opb, 7810.0
Hybrid, air02.opb, 7810.0
SCIP, air02.opb, N/A
Gurobi(comp 1 thread), air02.opb, 7810.0
Gurobi(heur 1 thread), air02.opb, 7810.0
LS-PBO-dynamic, air02.opb, 7810.0
FiberSCIP, air02.opb, 7810.0
Gurobi(comp 32 thread), air02.opb, 7810.0
Gurobi(heur 32 thread), air02.opb, 7810.0
ParLS-PBO, air02.opb, 7810.0
V1, air02.opb, 7810.0
V2, air02.opb, 7810.0
ParLS-PBO(4 thread), air02.opb, 7810.0
ParLS-PBO(8 thread), air02.opb, 7810.0
ParLS-PBO(16 thread), air02.opb, 7810.0
LS-PBO, air03.opb, 371356.0
DeciLS-PBO, air03.opb, 371356.0
PBO-IHS, air03.opb, 340160.0
Hybrid, air03.opb, N/A
SCIP, air03.opb, 340160.0
Gurobi(comp 1 thread), air03.opb, 340160.0
Gurobi(heur 1 thread), air03.opb, 340160.0
LS-PBO-dynamic, air03.opb, 340160.0
FiberSCIP, air03.opb, 340160.0
Gurobi(comp 32 thread), air03.opb, 340160.0
Gurobi(heur 32 thread), air03.opb, 340160.0
ParLS-PBO, air03.opb, 340160.0
V1, air03.opb, 340160.0
V2, air03.opb, 340160.0
ParLS-PBO(4 thread), air03.opb, 340160.0
ParLS-PBO(8 thread), air03.opb, 340160.0
ParLS-PBO(16 thread), air03.opb, 340160.0
LS-PBO, air04.opb, 66634.0
DeciLS-PBO, air04.opb, 65628.0
PBO-IHS, air04.opb, 56137.0
Hybrid, air04.opb, 56137.0
SCIP, air04.opb, 56137.0
Gurobi(comp 1 thread), air04.opb, 56137.0
Gurobi(heur 1 thread), air04.opb, 56137.0
LS-PBO-dynamic, air04.opb, 56137.0
FiberSCIP, air04.opb, 56137.0
Gurobi(comp 32 thread), air04.opb, 56137.0
Gurobi(heur 32 thread), air04.opb, 56137.0
ParLS-PBO, air04.opb, 56137.0
V1, air04.opb, 56137.0
V2, air04.opb, 56137.0
ParLS-PBO(4 thread), air04.opb, 56137.0
ParLS-PBO(8 thread), air04.opb, 56137.0
ParLS-PBO(16 thread), air04.opb, 56137.0
LS-PBO, air05.opb, 32310.0
DeciLS-PBO, air05.opb, 32310.0
PBO-IHS, air05.opb, 26374.0
Hybrid, air05.opb, N/A
SCIP, air05.opb, N/A
Gurobi(comp 1 thread), air05.opb, 26374.0
Gurobi(heur 1 thread), air05.opb, 26374.0
LS-PBO-dynamic, air05.opb, 26374.0
FiberSCIP, air05.opb, 26374.0
Gurobi(comp 32 thread), air05.opb, 26374.0
Gurobi(heur 32 thread), air05.opb, 26374.0
ParLS-PBO, air05.opb, 26374.0
V1, air05.opb, 26374.0
V2, air05.opb, 26374.0
ParLS-PBO(4 thread), air05.opb, 26374.0
ParLS-PBO(8 thread), air05.opb, 26374.0
ParLS-PBO(16 thread), air05.opb, 26374.0
LS-PBO, air06.opb, 58541.0
DeciLS-PBO, air06.opb, 58541.0
PBO-IHS, air06.opb, 49649.0
Hybrid, air06.opb, N/A
SCIP, air06.opb, 49649.0
Gurobi(comp 1 thread), air06.opb, 49649.0
Gurobi(heur 1 thread), air06.opb, 49649.0
LS-PBO-dynamic, air06.opb, 49649.0
FiberSCIP, air06.opb, 49649.0
Gurobi(comp 32 thread), air06.opb, 49649.0
Gurobi(heur 32 thread), air06.opb, 49649.0
ParLS-PBO, air06.opb, 49649.0
V1, air06.opb, 49649.0
V2, air06.opb, 49649.0
ParLS-PBO(4 thread), air06.opb, 49649.0
ParLS-PBO(8 thread), air06.opb, 49649.0
ParLS-PBO(16 thread), air06.opb, 49649.0
LS-PBO, app2-1.opb, 75547.0
DeciLS-PBO, app2-1.opb, 75547.0
PBO-IHS, app2-1.opb, 75507.0
Hybrid, app2-1.opb, 75507.0
SCIP, app2-1.opb, 75507.0
Gurobi(comp 1 thread), app2-1.opb, 75507.0
Gurobi(heur 1 thread), app2-1.opb, 75507.0
LS-PBO-dynamic, app2-1.opb, 75507.0
FiberSCIP, app2-1.opb, 75507.0
Gurobi(comp 32 thread), app2-1.opb, 75507.0
Gurobi(heur 32 thread), app2-1.opb, 75507.0
ParLS-PBO, app2-1.opb, 75507.0
V1, app2-1.opb, 75507.0
V2, app2-1.opb, 75507.0
ParLS-PBO(4 thread), app2-1.opb, 75507.0
ParLS-PBO(8 thread), app2-1.opb, 75507.0
ParLS-PBO(16 thread), app2-1.opb, 75507.0
LS-PBO, app2-2.opb, 612918.0
DeciLS-PBO, app2-2.opb, 612918.0
PBO-IHS, app2-2.opb, 612913.0
Hybrid, app2-2.opb, 612913.0
SCIP, app2-2.opb, 612913.0
Gurobi(comp 1 thread), app2-2.opb, 612913.0
Gurobi(heur 1 thread), app2-2.opb, 612913.0
LS-PBO-dynamic, app2-2.opb, 612913.0
FiberSCIP, app2-2.opb, 612913.0
Gurobi(comp 32 thread), app2-2.opb, 612913.0
Gurobi(heur 32 thread), app2-2.opb, 612913.0
ParLS-PBO, app2-2.opb, 612913.0
V1, app2-2.opb, 612913.0
V2, app2-2.opb, 612913.0
ParLS-PBO(4 thread), app2-2.opb, 612913.0
ParLS-PBO(8 thread), app2-2.opb, 612913.0
ParLS-PBO(16 thread), app2-2.opb, 612913.0
LS-PBO, bab1.opb, N/A
DeciLS-PBO, bab1.opb, N/A
PBO-IHS, bab1.opb, -3623713.0
Hybrid, bab1.opb, -3623713.0
SCIP, bab1.opb, N/A
Gurobi(comp 1 thread), bab1.opb, -3923810.0
Gurobi(heur 1 thread), bab1.opb, -3923810.0
LS-PBO-dynamic, bab1.opb, -3923810.0
FiberSCIP, bab1.opb, N/A
Gurobi(comp 32 thread), bab1.opb, -3923810.0
Gurobi(heur 32 thread), bab1.opb, -3923810.0
ParLS-PBO, bab1.opb, -3923810.0
V1, bab1.opb, -3923810.0
V2, bab1.opb, -3923810.0
ParLS-PBO(4 thread), bab1.opb, -3923810.0
ParLS-PBO(8 thread), bab1.opb, -3923810.0
ParLS-PBO(16 thread), bab1.opb, -3923810.0
LS-PBO, bab2.opb, N/A
DeciLS-PBO, bab2.opb, N/A
PBO-IHS, bab2.opb, N/A
Hybrid, bab2.opb, -1123377.0
SCIP, bab2.opb, N/A
Gurobi(comp 1 thread), bab2.opb, -4936380.0
Gurobi(heur 1 thread), bab2.opb, -4958770.0
LS-PBO-dynamic, bab2.opb, N/A
FiberSCIP, bab2.opb, N/A
Gurobi(comp 32 thread), bab2.opb, -4968600.0
Gurobi(heur 32 thread), bab2.opb, -4968600.0
ParLS-PBO, bab2.opb, N/A
V1, bab2.opb, N/A
V2, bab2.opb, N/A
ParLS-PBO(4 thread), bab2.opb, N/A
ParLS-PBO(8 thread), bab2.opb, N/A
ParLS-PBO(16 thread), bab2.opb, N/A
LS-PBO, bab3.opb, N/A
DeciLS-PBO, bab3.opb, N/A
PBO-IHS, bab3.opb, N/A
Hybrid, bab3.opb, N/A
SCIP, bab3.opb, N/A
Gurobi(comp 1 thread), bab3.opb, N/A
Gurobi(heur 1 thread), bab3.opb, N/A
LS-PBO-dynamic, bab3.opb, N/A
FiberSCIP, bab3.opb, N/A
Gurobi(comp 32 thread), bab3.opb, -9118510.0
Gurobi(heur 32 thread), bab3.opb, -9118510.0
ParLS-PBO, bab3.opb, N/A
V1, bab3.opb, N/A
V2, bab3.opb, N/A
ParLS-PBO(4 thread), bab3.opb, N/A
ParLS-PBO(8 thread), bab3.opb, N/A
ParLS-PBO(16 thread), bab3.opb, N/A
LS-PBO, bab5.opb, N/A
DeciLS-PBO, bab5.opb, N/A
PBO-IHS, bab5.opb, 822284.0
Hybrid, bab5.opb, -7956138.0
SCIP, bab5.opb, -12334326.0
Gurobi(comp 1 thread), bab5.opb, -12414000.0
Gurobi(heur 1 thread), bab5.opb, -12414000.0
LS-PBO-dynamic, bab5.opb, -12414000.0
FiberSCIP, bab5.opb, -12414000.0
Gurobi(comp 32 thread), bab5.opb, -12414000.0
Gurobi(heur 32 thread), bab5.opb, -12414000.0
ParLS-PBO, bab5.opb, -12414000.0
V1, bab5.opb, -12414000.0
V2, bab5.opb, -12414000.0
ParLS-PBO(4 thread), bab5.opb, -12414000.0
ParLS-PBO(8 thread), bab5.opb, -12414000.0
ParLS-PBO(16 thread), bab5.opb, -12414000.0
LS-PBO, bab6.opb, N/A
DeciLS-PBO, bab6.opb, N/A
PBO-IHS, bab6.opb, N/A
Hybrid, bab6.opb, N/A
SCIP, bab6.opb, N/A
Gurobi(comp 1 thread), bab6.opb, N/A
Gurobi(heur 1 thread), bab6.opb, -6173180.0
LS-PBO-dynamic, bab6.opb, N/A
FiberSCIP, bab6.opb, N/A
Gurobi(comp 32 thread), bab6.opb, -6174750.0
Gurobi(heur 32 thread), bab6.opb, -6174750.0
ParLS-PBO, bab6.opb, N/A
V1, bab6.opb, N/A
V2, bab6.opb, N/A
ParLS-PBO(4 thread), bab6.opb, N/A
ParLS-PBO(8 thread), bab6.opb, N/A
ParLS-PBO(16 thread), bab6.opb, N/A
LS-PBO, bley_xl1.opb, 230.0
DeciLS-PBO, bley_xl1.opb, 220.0
PBO-IHS, bley_xl1.opb, 190.0
Hybrid, bley_xl1.opb, 190.0
SCIP, bley_xl1.opb, 190.0
Gurobi(comp 1 thread), bley_xl1.opb, 190.0
Gurobi(heur 1 thread), bley_xl1.opb, 190.0
LS-PBO-dynamic, bley_xl1.opb, 190.0
FiberSCIP, bley_xl1.opb, 190.0
Gurobi(comp 32 thread), bley_xl1.opb, 190.0
Gurobi(heur 32 thread), bley_xl1.opb, 190.0
ParLS-PBO, bley_xl1.opb, 190.0
V1, bley_xl1.opb, 190.0
V2, bley_xl1.opb, 190.0
ParLS-PBO(4 thread), bley_xl1.opb, 190.0
ParLS-PBO(8 thread), bley_xl1.opb, 190.0
ParLS-PBO(16 thread), bley_xl1.opb, 190.0
LS-PBO, bm23.opb, 34.0
DeciLS-PBO, bm23.opb, 34.0
PBO-IHS, bm23.opb, 34.0
Hybrid, bm23.opb, 34.0
SCIP, bm23.opb, 34.0
Gurobi(comp 1 thread), bm23.opb, 34.0
Gurobi(heur 1 thread), bm23.opb, 34.0
LS-PBO-dynamic, bm23.opb, 34.0
FiberSCIP, bm23.opb, 34.0
Gurobi(comp 32 thread), bm23.opb, 34.0
Gurobi(heur 32 thread), bm23.opb, 34.0
ParLS-PBO, bm23.opb, 34.0
V1, bm23.opb, 34.0
V2, bm23.opb, 34.0
ParLS-PBO(4 thread), bm23.opb, 34.0
ParLS-PBO(8 thread), bm23.opb, 34.0
ParLS-PBO(16 thread), bm23.opb, 34.0
LS-PBO, bnatt350.opb, N/A
DeciLS-PBO, bnatt350.opb, N/A
PBO-IHS, bnatt350.opb, 0.0
Hybrid, bnatt350.opb, N/A
SCIP, bnatt350.opb, 0.0
Gurobi(comp 1 thread), bnatt350.opb, 0.0
Gurobi(heur 1 thread), bnatt350.opb, 0.0
LS-PBO-dynamic, bnatt350.opb, N/A
FiberSCIP, bnatt350.opb, 0.0
Gurobi(comp 32 thread), bnatt350.opb, 0.0
Gurobi(heur 32 thread), bnatt350.opb, 0.0
ParLS-PBO, bnatt350.opb, N/A
V1, bnatt350.opb, N/A
V2, bnatt350.opb, N/A
ParLS-PBO(4 thread), bnatt350.opb, N/A
ParLS-PBO(8 thread), bnatt350.opb, N/A
ParLS-PBO(16 thread), bnatt350.opb, N/A
LS-PBO, bnatt400.opb, N/A
DeciLS-PBO, bnatt400.opb, N/A
PBO-IHS, bnatt400.opb, N/A
Hybrid, bnatt400.opb, 1.0
SCIP, bnatt400.opb, N/A
